comment,age_group,comment_length,word_count,processed_tokens,processed_text
grandchildren visiting this weekend!,35-49,36,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
ADULTING IS HARD!!!,18-24,19,3,"['adulting', 'hard']",adulting hard
business trip super next week,25-34,29,5,"['business', 'trip', 'super', 'next', 'week']",business trip super next week
DOCTOR APPOINTMENTS EVERY WEEK,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
grandchildren visiting this very weekend,35-49,40,5,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
need very coffee to function,18-24,28,5,"['need', 'coffee', 'function']",need coffee function
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
really side hustle paying off,18-24,29,5,"['really', 'side', 'hustle', 'paying']",really side hustle paying
work-life balance is important!!!,25-34,33,4,"['worklife', 'balance', 'important']",worklife balance important
side hustle paying off!!!,18-24,25,4,"['side', 'hustle', 'paying']",side hustle paying
doctor appointments every week,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
my kids are driving me crazy!!!,25-34,31,6,"['kid', 'driving', 'crazy']",kid driving crazy
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
considering our home!!,35-49,22,3,"['considering', 'home']",considering home
business next week,25-34,18,3,"['business', 'next', 'week']",business next week
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
no cap slaps,<18,12,3,"['cap', 'slap']",cap slap
omg is so lit,<18,13,4,"['omg', 'lit']",omg lit
MY KIDS ARE DRIVING ME CRAZY,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
PLANNING FOR RETIREMENT,35-49,23,3,"['planning', 'retirement']",planning retirement
proud of my children's accomplishments!!,35-49,40,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
remote has pros and cons,18-24,24,5,"['remote', 'pro', 'con']",remote pro con
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
looking forward to the weekend!!,25-34,32,5,"['looking', 'forward', 'weekend']",looking forward weekend
empty nest syndrome is real!!,35-49,29,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
this is fire,<18,12,3,['fire'],fire
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
this is fire,<18,12,3,['fire'],fire
this is fire,<18,12,3,['fire'],fire
doctor appointments every week!,50+,31,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
my student loans are killing me,18-24,31,6,"['student', 'loan', 'killing']",student loan killing
slay queen,<18,10,2,"['slay', 'queen']",slay queen
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
PLANNING FOR RETIREMENT,35-49,23,3,"['planning', 'retirement']",planning retirement
TECHNOLOGY MOVES TOO FAST,50+,25,4,"['technology', 'move', 'fast']",technology move fast
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
proud of literally my children's accomplishments,35-49,48,6,"['proud', 'literally', 'childrens', 'accomplishment']",proud literally childrens accomplishment
dating apps are the worst!,18-24,26,5,"['dating', 'apps', 'worst']",dating apps worst
adulting is hard!!,18-24,18,3,"['adulting', 'hard']",adulting hard
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
that's sus!!,<18,12,2,"['thats', 'sus']",thats sus
NEED TO SCHEDULE DOCTOR APPOINTMENT,25-34,35,5,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
this is fire!!!,<18,15,3,['fire'],fire
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
just finished my finals,18-24,23,4,"['finished', 'final']",finished final
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
YEET!!,<18,6,1,['yeet'],yeet
doctor appointments every week,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
working remote has pros and cons!,18-24,33,6,"['working', 'remote', 'pro', 'con']",working remote pro con
