comment,age_group
grandchildren visiting this weekend!,35-49
grandchildren visiting this weekend,35-49
ADULTING IS HARD!!!,18-24
business trip super next week,25-34
DOCTOR APPOINTMENTS EVERY WEEK,50+
networking event tonight,18-24
grandchildren visiting this very weekend,35-49
need very coffee to function,18-24
managing aging parents and grown kids,35-49
really side hustle paying off,18-24
work-life balance is important!!!,25-34
side hustle paying off!!!,18-24
doctor appointments every week,50+
my kids are driving me crazy!!!,25-34
networking event tonight,18-24
remember when phones had cords,50+
considering our home!!,35-49
business next week,25-34
managing aging parents and grown kids,35-49
no cap slaps,<18
omg is so lit,<18
MY KIDS ARE DRIVING ME CRAZY,25-34
no cap this slaps,<18
considering downsizing our home,35-49
PLANNING FOR RETIREMENT,35-49
proud of my children's accomplishments!!,35-49
work-life balance is important,25-34
remote has pros and cons,18-24
health insurance costs are rising,35-49
reunion with old friends,35-49
looking forward to the weekend!!,25-34
empty nest syndrome is real!!,35-49
apartment hunting is stressful,18-24
this is fire,<18
no cap this slaps,<18
thinking about changing careers,25-34
this is fire,<18
this is fire,<18
doctor appointments every week!,50+
mortgage rates are insane,25-34
my student loans are killing me,18-24
slay queen,<18
mortgage rates are insane,25-34
remember when phones had cords,50+
PLANNING FOR RETIREMENT,35-49
TECHNOLOGY MOVES TOO FAST,50+
need to schedule a doctor appointment,25-34
proud of literally my children's accomplishments,35-49
dating apps are the worst!,18-24
adulting is hard!!,18-24
bruh moment fr,<18
that's sus!!,<18
NEED TO SCHEDULE DOCTOR APPOINTMENT,25-34
reunion with old friends,35-49
this is fire!!!,<18
networking event tonight,18-24
just finished my finals,18-24
my kids are driving me crazy,25-34
YEET!!,<18
doctor appointments every week,50+
networking event tonight,18-24
working remote has pros and cons!,18-24
my kids are driving me crazy,25-34
retirement is wonderful,50+
vibing with my besties,<18
managing aging parents and grown kids,35-49
EMPTY NEST SYNDROME IS REAL,35-49
reunion with old friends!!,35-49
just meal prepped for the week,18-24
mortgage rates are insane,25-34
SENIOR VERY DISCOUNT IS THE BEST PART,50+
retirement is wonderful,50+
proud of my children's accomplishments,35-49
networking event tonight,18-24
coffee to function!,18-24
my daughter is graduating basically college,35-49
technology moves too fast,50+
bruh moment fr,<18
home renovation project,25-34
grandchildren visiting this weekend,35-49
apartment hunting is,18-24
this is fire,<18
technology moves too fast,50+
adulting is hard,18-24
this is fire,<18
BRUH MOMENT FR!,<18
back in my day,50+
apps are the worst!,18-24
working remote has pros and,18-24
literally reunion with old friends,35-49
home renovation project,25-34
work-life balance is important,25-34
considering downsizing our home,35-49
BIG MOOD,<18
dating apps are the worst,18-24
grandchildren visiting this weekend,35-49
networking event tonight,18-24
technology too fast,50+
parent-teacher conference today,25-34
super my kids are driving me crazy,25-34
JUST MEAL PREPPED FOR THE WEEK!!!,18-24
home renovation project,25-34
balance is important,25-34
side hustle paying off,18-24
grandchildren actually are such a blessing,50+
technology moves too fast,50+
arthritis up today,50+
that's sus,<18
need coffee to function!!,18-24
parent-teacher conference today,25-34
technology moves too fast,50+
my daughter is graduating college!,35-49
work-life is important!!,25-34
daughter is graduating college,35-49
this is fire,<18
bruh moment fr,<18
senior discount is the best part,50+
back kinda in my day,50+
thinking about changing careers,25-34
adulting is hard,18-24
investing for retirement,25-34
looking forward to the weekend,25-34
vibing with my besties,<18
remember when phones had cords,50+
remember when phones had cords,50+
health insurance are rising!!!,35-49
networking event tonight!!!,18-24
BLOOD PRESSURE MEDICATION,35-49
big mood,<18
home renovation project!!!,25-34
omg this is so lit,<18
THIS IS FIRE,<18
managing aging parents and grown kids,35-49
my kids are driving me crazy!,25-34
proud of my children's!,35-49
that's sus,<18
SENIOR DISCOUNT IS THE BEST PART,50+
investing for retirement!!,25-34
mortgage very rates are insane,25-34
looking forward absolutely to the weekend,25-34
planning for retirement!!!,35-49
investing for retirement,25-34
dating apps kinda are the worst,18-24
just meal prepped for the week!!!,18-24
planning for retirement!!,35-49
home renovation project,25-34
bruh moment fr,<18
big mood!!,<18
my kids are driving totally me crazy,25-34
health insurance costs are rising!!,35-49
bridge club meeting,50+
just meal for the week,18-24
managing aging parents and grown kids,35-49
apartment hunting honestly is stressful,18-24
looking forward to the weekend,25-34
senior discount is best part,50+
mortgage rates are insane,25-34
slay queen!!,<18
doctor appointments honestly every week!!,50+
that's sus,<18
retirement is wonderful!,50+
health literally insurance costs are rising,35-49
golden years indeed,50+
need coffee to function!!!,18-24
mortgage rates are insane,25-34
vibing with my besties,<18
apartment literally hunting is stressful,18-24
HOME RENOVATION PROJECT!,25-34
managing aging parents and grown kids,35-49
no cap this slaps,<18
arthritis acting totally up today!!!,50+
adulting is hard,18-24
mortgage rates actually are insane,25-34
BRIDGE CLUB MEETING,50+
back in my day,50+
big mood,<18
THINKING ABOUT CHANGING CAREERS,25-34
grandchildren are such a blessing,50+
parent-teacher conference today,25-34
mortgage rates are insane,25-34
hunting is stressful!,18-24
doctor appointments every week,50+
retirement is wonderful,50+
parent-teacher conference today!!!,25-34
considering downsizing our home,35-49
networking event tonight!!,18-24
golden years indeed,50+
working remote has pros and cons!,18-24
adulting is hard!!!,18-24
LOWKEY OBSESSED WITH THIS!!,<18
need coffee to function!,18-24
business next week,25-34
remember when phones had cords!!!,50+
yeet,<18
parent-teacher conference today,25-34
dating apps are very the worst,18-24
omg this so lit,<18
reunion with old friends,35-49
vibing with my besties!!,<18
back in my day!,50+
apartment hunting is stressful,18-24
lowkey obsessed with this!,<18
blood pressure medication!,35-49
SLAY QUEEN,<18
my student loans are killing me!!!,18-24
my daughter is graduating college,35-49
that's sus,<18
BLOOD PRESSURE MEDICATION,35-49
proud of my children's accomplishments,35-49
hunting is stressful,18-24
GRANDCHILDREN VISITING THIS WEEKEND!!,35-49
super dating apps are the worst!!,18-24
that's sus,<18
reunion with old friends!,35-49
parent-teacher conference today,25-34
need coffee to function,18-24
empty nest syndrome is real!!,35-49
totally apartment hunting is stressful,18-24
vibing with my besties,<18
dating apps are the worst!,18-24
business next week!,25-34
grandchildren visiting this weekend!,35-49
need to schedule a doctor appointment,25-34
proud my children's accomplishments!!,35-49
retirement is wonderful,50+
cap this slaps!,<18
side hustle paying off,18-24
considering downsizing our!,35-49
that's sus!!,<18
THAT'S SUS!!,<18
yeet,<18
back in my day,50+
omg this is so lit,<18
vibing with my besties,<18
apartment hunting is stressful,18-24
this is fire,<18
managing aging parents and grown kids!!!,35-49
investing for retirement,25-34
WORKING REMOTE HAS PROS AND CONS,18-24
reunion with old friends,35-49
adulting is hard,18-24
vibing with my besties,<18
need coffee function,18-24
need coffee to function,18-24
home renovation project,25-34
big mood!!,<18
YEET,<18
technology moves too fast!,50+
bridge club meeting,50+
working remote has pros and cons!!,18-24
that's sus,<18
retirement is wonderful!!!,50+
side hustle paying off,18-24
home renovation project,25-34
that's sus,<18
remember when totally phones had cords,50+
MY DAUGHTER IS GRADUATING COLLEGE,35-49
dating apps are the worst,18-24
planning for retirement,35-49
health insurance costs are rising!!,35-49
that's sus,<18
golden years indeed,50+
my daughter is graduating college!!!,35-49
this is fire!,<18
apartment hunting is stressful,18-24
looking literally forward to the weekend,25-34
reunion with old friends,35-49
doctor appointments every week!!!,50+
managing aging parents and grown kids!!,35-49
planning for retirement,35-49
my daughter is graduating college,35-49
lowkey obsessed with!,<18
blood pressure medication!!,35-49
just meal for the week,18-24
remote has pros and cons,18-24
home renovation project,25-34
this is fire,<18
adulting is hard,18-24
proud of my children's accomplishments!!,35-49
need schedule a doctor appointment,25-34
back in my day!,50+
my kids are driving me crazy!!,25-34
planning for retirement,35-49
proud of my children's accomplishments!,35-49
omg this is so lit,<18
grandchildren visiting this weekend,35-49
omg this honestly is so lit,<18
SENIOR DISCOUNT IS THE SUPER BEST PART,50+
senior discount is the best part,50+
WORK-LIFE IS IMPORTANT,25-34
totally my daughter is graduating college!!,35-49
MANAGING AGING PARENTS AND GROWN KIDS,35-49
remember when phones had honestly cords,50+
networking event tonight,18-24
business trip next week!!!,25-34
yeet,<18
managing aging parents and grown kids,35-49
proud of my children's accomplishments,35-49
adulting is hard,18-24
proud of my children's accomplishments!!!,35-49
golden years indeed!!,50+
this is fire,<18
side hustle paying off!,18-24
arthritis acting up today!,50+
bruh moment fr,<18
need to schedule doctor appointment,25-34
TECHNOLOGY MOVES TOO FAST,50+
managing aging parents and grown kids,35-49
investing for retirement!!,25-34
super dating apps are the worst,18-24
remember when phones had cords,50+
bruh moment fr,<18
lowkey obsessed with this,<18
thinking about changing careers,25-34
arthritis acting up today,50+
technology moves too fast!!,50+
dating apps are the worst,18-24
remember phones had cords!,50+
managing aging parents and grown kids!!,35-49
considering downsizing our absolutely home,35-49
technology moves too,50+
REMEMBER WHEN PHONES HAD CORDS!!!,50+
GRANDCHILDREN VISITING THIS WEEKEND,35-49
this is fire!,<18
work-life balance is important!!,25-34
remember when phones had cords,50+
grandchildren are such a blessing,50+
my honestly student loans are killing me!!,18-24
DATING APPS ARE THE WORST,18-24
health insurance costs are rising,35-49
remember when phones had cords!,50+
managing aging parents and grown kids,35-49
investing for retirement,25-34
bruh moment fr!,<18
reunion with old friends,35-49
networking event tonight,18-24
doctor appointments every week,50+
BACK IN MY DAY,50+
considering downsizing our home,35-49
grandchildren are literally such a blessing!,50+
planning for retirement,35-49
vibing with my besties,<18
side hustle paying off,18-24
adulting is hard,18-24
side hustle paying off,18-24
this is fire!,<18
apartment hunting is stressful!,18-24
looking forward to the weekend!,25-34
back in my day,50+
MORTGAGE RATES ARE INSANE!!,25-34
reunion with old friends!,35-49
yeet,<18
work-life balance is important,25-34
that's sus!,<18
when phones had cords,50+
PARENT-TEACHER CONFERENCE TODAY,25-34
side hustle paying off,18-24
retirement is wonderful,50+
back in really my day!!!,50+
bruh moment fr,<18
proud of my children's accomplishments,35-49
technology moves too fast,50+
considering downsizing our home,35-49
planning for retirement!!,35-49
BRUH MOMENT FR!!,<18
slay queen,<18
REALLY REMEMBER WHEN PHONES HAD CORDS!!,50+
back in my day,50+
yeet,<18
that's sus!!,<18
retirement is wonderful,50+
retirement is wonderful!!!,50+
golden years indeed,50+
vibing with my besties,<18
big mood,<18
apartment hunting is stressful!,18-24
that's sus,<18
investing for retirement,25-34
bridge club meeting,50+
lowkey obsessed with this,<18
this is fire,<18
parent-teacher conference today,25-34
lowkey obsessed with this!,<18
reunion with old friends!!,35-49
empty nest syndrome is real,35-49
senior discount is the best part,50+
my daughter graduating college!!,35-49
business trip next week,25-34
adulting is hard,18-24
planning for retirement,35-49
my daughter is graduating college!,35-49
grandchildren are a blessing,50+
just finished my finals,18-24
empty nest syndrome is super real!,35-49
no cap this slaps,<18
golden years indeed,50+
need to schedule a doctor appointment!!,25-34
home renovation project,25-34
proud of my accomplishments,35-49
need coffee to,18-24
mortgage rates are insane,25-34
considering downsizing our home,35-49
OMG THIS IS SO LIT,<18
need to schedule a doctor appointment!!,25-34
technology moves too fast!!,50+
yeet,<18
WORKING REMOTE HAS PROS AND CONS!,18-24
retirement is wonderful,50+
OMG THIS IS SO LIT,<18
proud of my children's accomplishments,35-49
DATING APPS ARE THE WORST,18-24
my student loans are me,18-24
investing for retirement!!!,25-34
golden years indeed,50+
doctor appointments every week,50+
networking event tonight,18-24
need coffee to function!!!,18-24
just totally meal prepped for the week!!,18-24
bridge club meeting,50+
totally lowkey obsessed with this,<18
blood pressure medication,35-49
empty really nest syndrome is real,35-49
back in my day!!!,50+
slay queen!,<18
managing aging parents and grown kids,35-49
that's sus,<18
slay queen,<18
grandchildren are such a blessing,50+
reunion with old friends!!!,35-49
parent-teacher conference today!!,25-34
back in my day,50+
parent-teacher conference today!,25-34
parent-teacher conference today,25-34
my daughter is graduating college!!!,35-49
bruh moment fr,<18
JUST MEAL PREPPED FOR THE WEEK!,18-24
literally empty nest syndrome is real,35-49
grandchildren this weekend!!,35-49
health insurance costs are rising,35-49
thinking about changing careers!!,25-34
big mood,<18
my daughter is graduating college,35-49
bruh moment fr!!,<18
bruh moment fr,<18
technology absolutely moves too fast,50+
discount is the best part,50+
proud of my actually children's accomplishments,35-49
NEED TO SCHEDULE A DOCTOR APPOINTMENT,25-34
my student very loans are killing me,18-24
just meal prepped for the week,18-24
that's sus,<18
managing aging parents and grown kids,35-49
need schedule a doctor appointment!!!,25-34
no cap this slaps!!!,<18
mortgage rates are insane,25-34
blood pressure medication,35-49
bruh moment fr,<18
bruh moment fr!!!,<18
parent-teacher conference today,25-34
arthritis acting up today,50+
business trip next week,25-34
working remote has pros and cons,18-24
need coffee to!,18-24
super looking forward to the weekend!!,25-34
senior discount is the best part,50+
SENIOR DISCOUNT IS THE BEST HONESTLY PART,50+
arthritis acting up today,50+
work-life balance is,25-34
golden years indeed!!!,50+
lowkey obsessed with this,<18
that's sus,<18
omg this is so lit,<18
really managing aging parents and grown kids,35-49
working remote has pros and,18-24
this is so lit,<18
my kids are driving me crazy,25-34
omg this is so lit,<18
just finished my absolutely finals!!!,18-24
doctor appointments every week,50+
technology super moves too fast,50+
vibing with my besties,<18
this is fire,<18
work-life balance is really important,25-34
my kids are driving me crazy,25-34
MY KIDS DRIVING ME CRAZY!!!,25-34
my daughter is graduating college!!!,35-49
senior discount is the best part,50+
networking event tonight,18-24
grandchildren are such a blessing,50+
work-life balance is,25-34
just meal prepped for the,18-24
looking forward to the very weekend,25-34
omg this is so lit!!,<18
remember when phones had cords,50+
need totally to schedule a doctor appointment,25-34
slay queen,<18
MY STUDENT LOANS ARE KILLING ME,18-24
looking forward to the weekend!,25-34
parent-teacher conference today,25-34
big mood,<18
my is graduating college,35-49
just finished my finals,18-24
looking forward to the weekend,25-34
THAT'S SUS,<18
lowkey obsessed with this,<18
arthritis absolutely acting up today,50+
PLANNING FOR RETIREMENT,35-49
business trip next!!!,25-34
that's sus,<18
back in my day,50+
empty nest syndrome real,35-49
this is fire,<18
remember when phones had cords!,50+
arthritis acting basically up today,50+
CONSIDERING DOWNSIZING OUR HOME!!!,35-49
golden years indeed!,50+
grandchildren are such a blessing,50+
big mood,<18
side hustle off!!!,18-24
grandchildren visiting this weekend,35-49
work-life balance is important,25-34
thinking about changing careers,25-34
golden years indeed,50+
really no cap this slaps!,<18
basically need to schedule a doctor appointment,25-34
lowkey obsessed with this,<18
doctor appointments every week!!,50+
yeet!!,<18
managing aging parents and grown kids,35-49
apartment hunting is stressful,18-24
dating apps the worst,18-24
business trip next week,25-34
slay queen,<18
vibing with my besties,<18
need coffee to literally function,18-24
absolutely just finished my finals,18-24
networking event tonight,18-24
yeet,<18
my kids are driving me crazy,25-34
lowkey obsessed with this!!,<18
back in my day!!!,50+
remember when phones had cords,50+
my daughter is graduating college!,35-49
need to schedule a doctor appointment,25-34
investing for retirement,25-34
working remote has pros and kinda cons,18-24
bridge club meeting,50+
retirement is wonderful,50+
reunion old friends,35-49
business trip next week,25-34
vibing with my besties,<18
parent-teacher conference today,25-34
reunion with old friends,35-49
BIG MOOD,<18
just meal prepped for the week,18-24
slay queen,<18
my really daughter is graduating college!,35-49
investing for retirement,25-34
grandchildren are such a blessing,50+
GRANDCHILDREN VISITING THIS WEEKEND!,35-49
